Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
08/07/2018,1208,0,20.7,51,1.7,2000,10.1,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,946,1,19.9,52,1.6,2000,9.7,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,648,2,19.3,54,1.4,2000,9.7,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,460,3,18.8,56,1.2,2000,9.8,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,277,4,18.4,57,1.1,2000,9.7,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,253,5,18.1,57,1.4,2000,9.4,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,267,6,17.8,58,1.1,2000,9.4,0.04,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,410,7,18.2,54,1.2,2000,8.7,0.42,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,684,8,19.1,53,1.7,1952,9.2,0.8,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,787,9,20.8,51,1.5,1973,10.2,1.65,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,867,10,22.5,48,1.6,1940,10.9,2.33,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,1053,11,23.8,47,2.1,2000,11.8,2.59,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,1237,12,25.0,46,1.9,1943,12.5,2.93,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,1442,13,26.1,45,1.8,2000,13.2,3.33,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,1517,14,27.1,41,1.4,1941,12.7,3.24,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,1693,15,27.6,37,1.9,2000,11.5,2.58,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,2070,16,27.9,39,1.2,2000,12.6,2.16,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,2266,17,27.4,44,1.7,2000,14.0,1.17,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,2351,18,26.7,48,1.0,2000,14.7,0.53,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,2272,19,26.3,51,1.7,2000,15.3,0.18,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,2348,20,25.7,53,1.3,2000,15.3,0.03,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,2055,21,25.3,55,1.4,2000,15.6,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,1717,22,25.0,57,1.0,2000,15.8,0.0,0.0,0.0,Summer,No Holiday,Yes
08/07/2018,1252,23,24.6,60,2.6,2000,16.3,0.0,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,900,0,24.2,61,1.7,2000,16.1,0.0,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,554,1,23.7,64,0.8,2000,16.4,0.0,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,387,2,22.7,63,0.9,2000,15.2,0.0,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,285,3,21.9,63,1.3,2000,14.5,0.0,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,206,4,21.4,63,1.5,2000,14.0,0.0,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,301,5,21.1,64,1.5,2000,14.0,0.0,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,486,6,21.0,64,1.0,2000,13.9,0.03,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,451,7,20.9,66,1.4,2000,14.3,0.1,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,670,8,20.7,73,0.8,2000,15.6,0.3,0.2,0.0,Summer,No Holiday,Yes
09/07/2018,575,9,21.1,72,1.0,1982,15.8,0.52,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,217,10,21.1,73,1.2,1957,16.0,0.4,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,186,11,20.6,82,1.0,2000,17.4,0.29,0.3,0.0,Summer,No Holiday,Yes
09/07/2018,71,12,20.7,83,0.6,1244,17.7,0.32,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,99,13,20.3,87,1.0,771,18.0,0.31,0.5,0.0,Summer,No Holiday,Yes
09/07/2018,110,14,20.2,89,1.0,1854,18.3,0.27,0.5,0.0,Summer,No Holiday,Yes
09/07/2018,59,15,20.3,90,0.9,1356,18.5,0.34,0.0,0.0,Summer,No Holiday,Yes
09/07/2018,68,16,20.2,91,1.2,1637,18.6,0.42,1.0,0.0,Summer,No Holiday,Yes
09/07/2018,104,17,20.3,93,1.4,1684,19.1,0.32,1.0,0.0,Summer,No Holiday,Yes
09/07/2018,140,18,20.3,93,1.3,1832,19.1,0.22,0.5,0.0,Summer,No Holiday,Yes
09/07/2018,68,19,20.4,94,1.1,1769,19.3,0.14,0.5,0.0,Summer,No Holiday,Yes
09/07/2018,48,20,20.3,95,0.8,1372,19.4,0.02,1.0,0.0,Summer,No Holiday,Yes
09/07/2018,95,21,20.3,96,1.0,1007,19.6,0.0,1.5,0.0,Summer,No Holiday,Yes
09/07/2018,71,22,20.4,96,1.1,1641,19.7,0.0,0.5,0.0,Summer,No Holiday,Yes
09/07/2018,40,23,20.4,96,0.6,1137,19.7,0.0,1.0,0.0,Summer,No Holiday,Yes
10/07/2018,29,0,20.4,97,0.3,183,19.9,0.0,5.5,0.0,Summer,No Holiday,Yes
10/07/2018,39,1,20.4,97,0.3,193,19.9,0.0,8.5,0.0,Summer,No Holiday,Yes
10/07/2018,84,2,20.5,98,0.5,596,20.1,0.0,6.5,0.0,Summer,No Holiday,Yes
10/07/2018,136,3,20.6,98,0.8,1986,20.2,0.0,0.5,0.0,Summer,No Holiday,Yes
10/07/2018,133,4,20.6,97,0.5,1989,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,174,5,20.6,97,0.6,2000,20.1,0.0,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,534,6,20.7,97,0.9,2000,20.2,0.02,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,1209,7,21.1,95,0.4,2000,20.2,0.14,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,2017,8,21.7,89,0.5,2000,19.8,0.31,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,1061,9,22.3,86,1.0,2000,19.8,0.42,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,768,10,22.6,85,0.9,1996,19.9,0.38,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,909,11,23.2,82,1.1,1991,19.9,0.47,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,1035,12,24.1,80,0.8,2000,20.4,0.72,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,1074,13,25.2,77,1.2,1951,20.8,1.06,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,1142,14,25.5,77,0.8,1957,21.1,0.75,0.0,0.0,Summer,No Holiday,Yes
10/07/2018,1169,15,25.7,77,0.5,1875,21.3,0.48,0.0,0.0,Summer,No Holiday,Yes
