Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
12/02/2018,103,0,-7.7,52,3.2,1982,-15.8,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,69,1,-7.9,52,3.7,1961,-16.0,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,45,2,-8.3,49,2.7,2000,-17.1,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,21,3,-8.5,35,2.7,2000,-21.2,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,33,4,-8.6,31,3.5,2000,-22.7,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,30,5,-9.2,37,1.1,2000,-21.2,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,109,6,-9.5,36,1.5,2000,-21.8,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,236,7,-9.5,35,1.1,2000,-22.1,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,517,8,-9.1,33,2.1,1998,-22.4,0.03,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,262,9,-8.4,28,2.2,1947,-23.7,0.49,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,161,10,-6.7,23,2.4,1938,-24.4,1.25,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,190,11,-6.1,25,2.8,1976,-22.9,1.28,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,202,12,-4.6,32,4.2,1874,-18.8,1.43,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,246,13,-2.7,29,2.9,1961,-18.3,2.29,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,182,14,-2.4,30,3.4,1824,-17.6,2.08,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,228,15,-2.1,30,3.9,1933,-17.3,2.22,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,239,16,-2.4,33,4.5,1815,-16.5,1.55,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,288,17,-3.1,36,4.4,1988,-16.0,0.89,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,475,18,-4.4,46,3.5,2000,-14.3,0.23,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,340,19,-4.9,52,2.0,2000,-13.2,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,244,20,-4.7,55,1.7,2000,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,253,21,-4.3,59,3.0,1239,-11.1,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,200,22,-4.2,57,1.7,2000,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes
12/02/2018,140,23,-4.4,58,2.4,2000,-11.4,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,158,0,-5.0,60,1.8,1995,-11.5,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,146,1,-5.5,60,1.3,1994,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,106,2,-6.0,58,2.0,2000,-12.9,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,70,3,-6.2,61,1.3,1992,-12.5,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,46,4,-6.4,62,1.8,1978,-12.4,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,51,5,-6.7,64,1.6,1981,-12.3,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,96,6,-7.1,70,1.0,1977,-11.6,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,294,7,-7.2,70,1.9,1946,-11.7,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,568,8,-7.1,68,0.6,1931,-12.0,0.03,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,285,9,-5.9,52,1.4,1935,-14.1,0.53,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,200,10,-2.4,41,1.5,1905,-13.8,1.19,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,252,11,-0.3,40,3.4,1728,-12.2,1.73,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,281,12,1.0,41,3.3,1794,-10.8,2.11,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,256,13,2.6,40,3.5,1854,-9.6,2.28,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,300,14,3.7,39,3.8,1908,-9.0,2.19,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,295,15,3.7,40,5.3,1950,-8.6,1.96,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,328,16,3.9,41,4.0,1973,-8.1,1.24,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,410,17,3.5,46,3.1,1992,-7.0,0.39,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,604,18,3.1,50,3.7,2000,-6.3,0.07,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,406,19,2.4,57,3.2,1995,-5.2,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,323,20,2.3,59,3.8,1981,-4.9,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,290,21,2.6,57,3.8,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,291,22,2.6,57,3.1,2000,-5.0,0.0,0.0,0.0,Winter,No Holiday,Yes
13/02/2018,211,23,2.4,59,3.2,2000,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,178,0,2.0,65,2.2,1885,-3.9,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,213,1,1.3,67,1.2,1738,-4.1,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,129,2,1.2,64,0.9,1680,-4.8,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,101,3,1.1,65,1.0,1596,-4.7,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,51,4,1.1,67,1.7,1506,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,56,5,1.0,68,0.6,1519,-4.2,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,108,6,1.1,66,0.9,1550,-4.5,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,292,7,1.3,66,1.1,1534,-4.3,0.0,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,606,8,2.1,65,1.1,1559,-3.8,0.01,0.0,0.0,Winter,No Holiday,Yes
14/02/2018,326,9,3.9,64,2.9,1483,-2.3,0.18,0.0,0.0,Winter,No Holiday,Yes
